granted by,iOS,Category,Android,granted by,protection level
device,com.apple.developer.accessory-setup-discovery-extension,AccessorySetup,REQUEST_COMPANION_PROFILE_GLASSES,device,normal
,,AccessorySetup,REQUEST_COMPANION_PROFILE_WATCH,device,normal
,,AccessorySetup,REQUEST_COMPANION_RUN_IN_BACKGROUND,device,normal
,,AccessorySetup,REQUEST_COMPANION_START_FOREGROUND_SERVICES_FROM_BACKGROUND,device,normal
,,AccessorySetup,REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,device,normal
,,AccessorySetup,REQUEST_OBSERVE_COMPANION_DEVICE_PRESENCE,device,normal
,,AccessorySetup,DELIVER_COMPANION_MESSAGES,device,normal
device,com.apple.developer.authentication-services.autofill-credential-provider,Authentication,CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,device,normal
,,Authentication,CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,device,normal
,,Authentication,CREDENTIAL_MANAGER_SET_ORIGIN,device,normal
user,NSFaceIDUsageDescription,Biometrics,USE_BIOMETRIC,device,normal
user,NSBluetoothAlwaysUsageDescription,Bluetooth,BLUETOOTH_ADVERTISE,user,dangerous
,,Bluetooth,BLUETOOTH_CONNECT,user,dangerous
,,Bluetooth,BLUETOOTH_SCAN,user,dangerous
,,Bluetooth,BLUETOOTH,device,normal
,,Bluetooth,BLUETOOTH_ADMIN,device,normal
user,NSCalendarsFullAccessUsageDescription,Calendar,READ_CALENDAR,user,dangerous
user,NSCalendarsWriteOnlyAccessUsageDescription,Calendar,WRITE_CALENDAR,user,dangerous
user,NSCameraUsageDescription,Camera,CAMERA,user,dangerous
,,Camera,RECORD_AUDIO,user,dangerous
,,Camera,FOREGROUND_SERVICE_CAMERA,device,normal
user,NSContactsUsageDescription,Contacts,READ_CONTACTS,user,dangerous
vendor,com.apple.developer.contacts.notes,Contacts,WRITE_CONTACTS,user,dangerous
user,NSLocalNetworkUsageDescription,LocalNetwork,NEARBY_WIFI_DEVICES,user,dangerous
device,com.apple.developer.location.push,Location,ACCESS_COARSE_LOCATION,user,dangerous
user,NSLocationAlwaysAndWhenInUseUsageDescription,Location,ACCESS_FINE_LOCATION,user,dangerous
user,NSLocationWhenInUseUsageDescription,Location,ACCESS_BACKGROUND_LOCATION,vendor,dangerous
user,NSLocationTemporaryUsageDescriptionDictionary,Location,ACCESS_MEDIA_LOCATION,user,dangerous
user,NSWidgetWantsLocation,Location,RANGING,user,dangerous
user,NSLocationDefaultAccuracyReduced,Location,UWB_RANGING,user,dangerous
,,Location,FOREGROUND_SERVICE_LOCATION,device,normal
,,Location,ACCESS_LOCATION_EXTRA_COMMANDS,device,normal
user,NSPhotoLibraryAddUsageDescription,Media,READ_MEDIA_VISUAL_USER_SELECTED,user,dangerous
user,NSPhotoLibraryUsageDescription,Media,READ_MEDIA_IMAGES,vendor,dangerous
user,NSAppleMusicUsageDescription,Media,READ_MEDIA_VIDEO,vendor,dangerous
,,Media,READ_EXTERNAL_STORAGE,user,dangerous
,,Media,WRITE_EXTERNAL_STORAGE,user,dangerous
,,Media,READ_MEDIA_AUDIO,user,dangerous
,,Media,MODIFY_AUDIO_SETTINGS,device,normal
,,Media,FOREGROUND_SERVICE_MEDIA_PLAYBACK,device,normal
,,Media,FOREGROUND_SERVICE_MEDIA_PROCESSING,device,normal
,,Media,FOREGROUND_SERVICE_MEDIA_PROJECTION,device,normal
device,com.apple.developer.messages.critical-messaging,Messaging,READ_SMS,vendor,dangerous
device,com.apple.developer.messaging-app,Messaging,RECEIVE_MMS,vendor,dangerous
device,com.apple.developer.carrier-messaging-app,Messaging,RECEIVE_SMS,vendor,dangerous
,,Messaging,RECEIVE_WAP_PUSH,vendor,dangerous
,,Messaging,SEND_SMS,vendor,dangerous
user,NSMicrophoneUsageDescription,Microphone,FOREGROUND_SERVICE_MICROPHONE,user,dangerous
user,NSMotionUsageDescription,Motion,ACTIVITY_RECOGNITION,user,dangerous
user,NSFallDetectionUsageDescription,Motion,HIGH_SAMPLING_RATE_SENSORS,device,normal
vendor,com.apple.developer.networking.multicast,Multicast,CHANGE_WIFI_MULTICAST_STATE,device,normal
device,com.apple.developer.networking.networkextension,Networking,CHANGE_NETWORK_STATE,device,normal
,,Networking,CHANGE_WIFI_STATE,device,normal
user,NFCReaderUsageDescription,NFC,NFC,device,normal
device,com.apple.developer.nfc.readersession.formats,NFC,NFC_PREFERRED_PAYMENT_INFO,device,normal
vendor,com.apple.developer.nfc.hce,NFC,NFC_TRANSACTION_EVENT,device,normal
vendor,com.apple.developer.nfc.hce.iso7816.select-identifier-prefixes,NFC,,,
vendor,com.apple.developer.nfc.hce.default-contactless-app,NFC,,,
user,NSUserNotificationsUsageDescription,Notification,POST_NOTIFICATIONS,user,dangerous
device,aps-environment,Notification,,,
device,com.apple.developer.calling-app,TelephonyServices,READ_CALL_LOG,vendor,dangerous
device,com.apple.developer.dialing-app,TelephonyServices,ACCEPT_HANDOVER,user,dangerous
vendor,com.apple.CommCenter.fine-grained,TelephonyServices,ADD_VOICEMAIL,user,dangerous
device,com.apple.developer.networking.carrier-constrained.appcategory,TelephonyServices,CALL_PHONE,user,dangerous
device,com.apple.developer.networking.carrier-constrained.app-optimized,TelephonyServices,WRITE_CALL_LOG,vendor,dangerous
,,TelephonyServices,READ_PHONE_NUMBERS,user,dangerous
,,TelephonyServices,ANSWER_PHONE_CALLS,user,dangerous
,,TelephonyServices,CALL_COMPANION_APP,device,normal
,,TelephonyServices,MANAGE_OWN_CALLS,device,normal
,,TelephonyServices,FOREGROUND_SERVICE_PHONE_CALL,device,normal
,,TelephonyServices,PROCESS_OUTGOING_CALLS,vendor,dangerous
device,com.apple.developer.networking.wifi-info,WifiState,ACCESS_WIFI_STATE,device,normal
"vendor, devicemanager",com.apple.developer.automated-device-enrollment.add-devices,DeviceManagement,MANAGE_DEVICE_POLICY_ACCESSIBILITY,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ACROSS_USERS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_AIRPLANE_MODE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_APP_FUNCTIONS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_APP_RESTRICTIONS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_APP_USER_DATA,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_APPS_CONTROL,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_ASSIST_CONTENT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_AUDIO_OUTPUT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_AUTOFILL,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_BACKUP_SERVICE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_BLUETOOTH,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_BUGREPORT,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_CALLS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_CAMERA,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_CAMERA_TOGGLE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_CERTIFICATES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_CONTENT_PROTECTION,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_DEFAULT_SMS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_DISPLAY,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_FACTORY_RESET,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_FUN,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_INPUT_METHODS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_KEYGUARD,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_LOCALE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_LOCATION,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_LOCK,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_LOCK_TASK,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_METERED_DATA,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_MICROPHONE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_MOBILE_NETWORK,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_MODIFY_USERS,devicemanager,
